Enemy_ID (적 유닛 ID)	Enemy_Rank (적 등급)	Is_Ranged (적 타입 원거리 여부)	Enemy_Unit_Name (적 유닛 이름)	Movement_Pattern (이동 패턴)	Atk_Pattern (공격 패턴)	HP (체력)	Atk_Power (공격력)	Move_Speed (이동속도)	Chasing_Increase (추격 게이지 증가량)	First_Appear_Stage (최초 등장 스테이지)
int	enum	bool	string	enum	string	int	int	float	int	int
11001	Normal	FALSE	Straight	Straight	Normal	1800	10	0.8	5	1
21001	Elite	FALSE	Straight	Straight	Normal	13000	20	0.6	20	1
31001	Boss	FALSE	Straight	Straight	Normal	25000	30	0.4	50	1
11002	Normal	FALSE	Zigzag	Zigzag	Normal	1950	10	0.8	5	2
21002	Elite	FALSE	Zigzag	Zigzag	Normal	14500	20	0.6	20	2
31002	Boss	FALSE	Zigzag	Zigzag	Normal	25000	30	0.4	50	2
11003	Normal	FALSE	Suicide	Chase	Suicide	1500	25	1	0	11
11005	Normal	FALSE	Runner	Straight	Normal	1750	7	1.05	4	4
21005	Elite	FALSE	Runner	Straight	Normal	13000	14	0.8	16	4
31005	Boss	FALSE	Runner	Straight	Normal	25000	21	0.6	40	4
11004	Normal	FALSE	Shield	Straight	Shield	1050	10	0.8	5	10
21004	Elite	FALSE	Shield	Straight	Shield	13000	20	0.6	20	10
31004	Boss	FALSE	Shield	Straight	Shield	25000	30	0.4	50	10
12006	Normal	TRUE	Sniper	Straight	Sniper	1500	10	0.8	5	2
22006	Elite	TRUE	Sniper	Straight	Sniper	12000	20	0.6	20	2
32006	Boss	TRUE	Sniper	Straight	Sniper	23000	30	0.4	50	2
12007	Normal	TRUE	Spread	Straight	Spread	1350	10	0.8	5	7
22007	Elite	TRUE	Spread	Straight	Spread	12000	20	0.6	20	7
32007	Boss	TRUE	Spread	Straight	Spread	23000	30	0.4	50	7
22008	Elite	TRUE	Radial	Straight	Radial	12000	20	0.6	20	14
32008	Boss	TRUE	Radial	Straight	Radial	23000	30	0.4	50	14
12009	Normal	TRUE	Flying	Flying	Flying	1350	10	0.8	5	8
