플레이 타임 (Play_Time)	웨이브 등장 여부 (Wave_Emerge)	웨이브 등급 (Wave_Rank)	장애물 등장 여부 (Obstacle_Emerge)	맵 이벤트 등장 여부 (Map_Event_Emerge)
float	bool	enum	bool	bool
0	TRUE	Normal	FALSE	FALSE
5	TRUE	Normal	FALSE	FALSE
10	TRUE	Normal	FALSE	FALSE
15	TRUE	Normal	FALSE	FALSE
20	TRUE	Normal	FALSE	FALSE
25	TRUE	Normal	FALSE	FALSE
30	TRUE	Normal	FALSE	FALSE
35	TRUE	Normal	FALSE	FALSE
40	TRUE	Elite	FALSE	FALSE
45	TRUE	Normal	FALSE	FALSE
50	TRUE	Normal	FALSE	FALSE
55	TRUE	Normal	FALSE	FALSE
60	TRUE	Normal	FALSE	FALSE
65	TRUE	Normal	FALSE	FALSE
70	TRUE	Normal	FALSE	FALSE
75	TRUE	Normal	FALSE	FALSE
80	TRUE	Elite	FALSE	FALSE
85	TRUE	Normal	FALSE	FALSE
90	TRUE	Normal	FALSE	FALSE
95	TRUE	Normal	FALSE	FALSE
100	TRUE	Normal	FALSE	FALSE
105	TRUE	Normal	FALSE	FALSE
110	TRUE	Normal	FALSE	FALSE
115	TRUE	Normal	FALSE	FALSE
120	TRUE	Boss	FALSE	FALSE
